COUNTRY,STATE,COUNTY,ACTUAL,PREDICT,PRODTYPE,PRODUCT,YEAR,QUARTER,MONTH,MONYR
U.S.A.,California,,$987.36,$692.24,FURNITURE,SOFA,1995,1,Jan,JAN95
U.S.A.,California,,"$1,782.96",$568.48,FURNITURE,SOFA,1995,1,Feb,FEB95
U.S.A.,California,,$32.64,$16.32,FURNITURE,SOFA,1995,1,Mar,MAR95
U.S.A.,California,,"$1,825.12",$756.16,FURNITURE,SOFA,1995,2,Apr,APR95
U.S.A.,California,,$750.72,$723.52,FURNITURE,SOFA,1995,2,May,MAY95
U.S.A.,California,,"$2,426.24","$2,428.96",FURNITURE,SOFA,1995,2,Jun,JUN95
U.S.A.,California,,"$1,791.12","$2,250.80",FURNITURE,SOFA,1995,3,Jul,JUL95
U.S.A.,California,,"$2,282.08",$350.88,FURNITURE,SOFA,1995,3,Aug,AUG95
U.S.A.,California,,"$2,518.72","$1,736.72",FURNITURE,SOFA,1995,3,Sep,SEP95
U.S.A.,California,,"$1,436.16","$2,167.84",FURNITURE,SOFA,1995,4,Oct,OCT95
U.S.A.,California,,"$2,314.72",$62.56,FURNITURE,SOFA,1995,4,Nov,NOV95
U.S.A.,California,,"$1,410.32","$1,670.08",FURNITURE,SOFA,1995,4,Dec,DEC95
U.S.A.,California,,$369.92,"$1,365.44",FURNITURE,BED,1995,1,Jan,JAN95
U.S.A.,California,,"$2,014.16","$2,358.24",FURNITURE,BED,1995,1,Feb,FEB95
U.S.A.,California,,$85.68,"$2,594.88",FURNITURE,BED,1995,1,Mar,MAR95
U.S.A.,California,,"$2,694.16","$1,403.52",FURNITURE,BED,1995,2,Apr,APR95
U.S.A.,California,,"$2,014.16",$707.20,FURNITURE,BED,1995,2,May,MAY95
U.S.A.,California,,"$1,500.08","$2,461.60",FURNITURE,BED,1995,2,Jun,JUN95
U.S.A.,California,,"$2,133.84","$2,486.08",FURNITURE,BED,1995,3,Jul,JUL95
U.S.A.,California,,"$1,834.64","$2,884.56",FURNITURE,BED,1995,3,Aug,AUG95
U.S.A.,California,,"$2,687.36","$1,224.00",FURNITURE,BED,1995,3,Sep,SEP95
U.S.A.,California,,$646.00,$950.64,FURNITURE,BED,1995,4,Oct,OCT95
U.S.A.,California,,"$2,392.24","$2,356.88",FURNITURE,BED,1995,4,Nov,NOV95
U.S.A.,California,,$913.92,"$1,538.16",FURNITURE,BED,1995,4,Dec,DEC95
U.S.A.,California,,"$1,090.72",$375.36,OFFICE,CHAIR,1995,1,Jan,JAN95
U.S.A.,California,,"$2,151.52","$1,025.44",OFFICE,CHAIR,1995,1,Feb,FEB95
U.S.A.,California,,"$1,221.28",$265.20,OFFICE,CHAIR,1995,1,Mar,MAR95
U.S.A.,California,,"$1,370.88","$2,283.44",OFFICE,CHAIR,1995,2,Apr,APR95
U.S.A.,California,,"$2,547.28","$1,925.76",OFFICE,CHAIR,1995,2,May,MAY95
U.S.A.,California,,"$1,105.68","$1,889.04",OFFICE,CHAIR,1995,2,Jun,JUN95
U.S.A.,California,,"$1,977.44",$606.56,OFFICE,CHAIR,1995,3,Jul,JUL95
U.S.A.,California,,"$2,069.92",$949.28,OFFICE,CHAIR,1995,3,Aug,AUG95
U.S.A.,California,,$329.12,"$2,258.96",OFFICE,CHAIR,1995,3,Sep,SEP95
U.S.A.,California,,"$1,784.32","$2,275.28",OFFICE,CHAIR,1995,4,Oct,OCT95
U.S.A.,California,,"$1,640.16","$1,908.08",OFFICE,CHAIR,1995,4,Nov,NOV95
U.S.A.,California,,$350.88,$146.88,OFFICE,CHAIR,1995,4,Dec,DEC95
U.S.A.,California,,$829.60,"$2,431.68",OFFICE,DESK,1995,1,Jan,JAN95
U.S.A.,California,,"$2,584.00","$2,132.48",OFFICE,DESK,1995,1,Feb,FEB95
U.S.A.,California,,"$2,222.24","$2,883.20",OFFICE,DESK,1995,1,Mar,MAR95
U.S.A.,California,,$446.08,"$2,766.24",OFFICE,DESK,1995,2,Apr,APR95
U.S.A.,California,,"$1,490.56","$2,256.24",OFFICE,DESK,1995,2,May,MAY95
U.S.A.,California,,$299.20,"$1,225.36",OFFICE,DESK,1995,2,Jun,JUN95
U.S.A.,California,,"$1,279.76","$2,140.64",OFFICE,DESK,1995,3,Jul,JUL95
U.S.A.,California,,$769.76,$357.68,OFFICE,DESK,1995,3,Aug,AUG95
U.S.A.,California,,$281.52,"$2,789.36",OFFICE,DESK,1995,3,Sep,SEP95
U.S.A.,California,,"$2,151.52",$749.36,OFFICE,DESK,1995,4,Oct,OCT95
U.S.A.,California,,"$1,327.36","$1,747.60",OFFICE,DESK,1995,4,Nov,NOV95
U.S.A.,California,,$403.92,"$1,066.24",OFFICE,DESK,1995,4,Dec,DEC95
U.S.A.,California,,"$1,646.96","$1,360.00",FURNITURE,SOFA,1995,1,Jan,JAN95
U.S.A.,California,,"$1,856.40","$1,308.32",FURNITURE,SOFA,1995,1,Feb,FEB95
U.S.A.,California,,$950.64,"$1,229.44",FURNITURE,SOFA,1995,1,Mar,MAR95
U.S.A.,California,,"$1,398.08","$2,558.16",FURNITURE,SOFA,1995,2,Apr,APR95
U.S.A.,California,,"$1,183.20","$1,312.40",FURNITURE,SOFA,1995,2,May,MAY95
U.S.A.,California,,$213.52,"$1,510.96",FURNITURE,SOFA,1995,2,Jun,JUN95
U.S.A.,California,,"$1,708.16","$2,312.00",FURNITURE,SOFA,1995,3,Jul,JUL95
U.S.A.,California,,$227.12,"$2,794.80",FURNITURE,SOFA,1995,3,Aug,AUG95
U.S.A.,California,,"$1,355.92",$448.80,FURNITURE,SOFA,1995,3,Sep,SEP95
U.S.A.,California,,"$2,346.00","$2,313.36",FURNITURE,SOFA,1995,4,Oct,OCT95
U.S.A.,California,,"$2,015.52",$146.88,FURNITURE,SOFA,1995,4,Nov,NOV95
U.S.A.,California,,$376.72,$103.36,FURNITURE,SOFA,1995,4,Dec,DEC95
U.S.A.,California,,$652.80,$697.68,FURNITURE,BED,1995,1,Jan,JAN95
U.S.A.,California,,$897.60,"$2,759.44",FURNITURE,BED,1995,1,Feb,FEB95
U.S.A.,California,,$539.92,"$1,625.20",FURNITURE,BED,1995,1,Mar,MAR95
U.S.A.,California,,$91.12,"$1,304.24",FURNITURE,BED,1995,2,Apr,APR95
U.S.A.,California,,$357.68,"$2,226.32",FURNITURE,BED,1995,2,May,MAY95
U.S.A.,California,,"$1,534.08","$2,788.00",FURNITURE,BED,1995,2,Jun,JUN95
U.S.A.,California,,"$1,376.32",$442.00,FURNITURE,BED,1995,3,Jul,JUL95
U.S.A.,California,,"$1,175.04",$4.08,FURNITURE,BED,1995,3,Aug,AUG95
U.S.A.,California,,"$2,521.44","$1,194.08",FURNITURE,BED,1995,3,Sep,SEP95
U.S.A.,California,,"$2,075.36","$1,423.92",FURNITURE,BED,1995,4,Oct,OCT95
