COUNTRIES,REGIONS,Years,Sales Value
AUSTRIA,EUROPE,2005,307915
AUSTRIA,EUROPE,2006,308594
AUSTRIA,EUROPE,2007,298182
AUSTRIA,EUROPE,2008,293697
AUSTRIA,EUROPE,2009,319403
AUSTRIA,EUROPE,2010,328563
AUSTRIA,EUROPE,2011,356145
AUSTRIA,EUROPE,2012,336010
AUSTRIA,EUROPE,2013,319035
AUSTRIA,EUROPE,2014,303318
BELGIUM,EUROPE,2005,480088
BELGIUM,EUROPE,2006,526141
BELGIUM,EUROPE,2007,524795
BELGIUM,EUROPE,2008,535947
BELGIUM,EUROPE,2009,476194
BELGIUM,EUROPE,2010,547340
BELGIUM,EUROPE,2011,572211
BELGIUM,EUROPE,2012,486737
BELGIUM,EUROPE,2013,486065
BELGIUM,EUROPE,2014,482939
DENMARK,EUROPE,2005,148819
DENMARK,EUROPE,2006,156936
DENMARK,EUROPE,2007,162686
DENMARK,EUROPE,2008,150199
DENMARK,EUROPE,2009,112454
DENMARK,EUROPE,2010,153858
DENMARK,EUROPE,2011,170036
DENMARK,EUROPE,2012,170763
DENMARK,EUROPE,2013,182086
DENMARK,EUROPE,2014,189051
FINLAND,EUROPE,2005,148161
FINLAND,EUROPE,2006,145700
FINLAND,EUROPE,2007,125608
FINLAND,EUROPE,2008,139669
FINLAND,EUROPE,2009,90574
FINLAND,EUROPE,2010,111968
FINLAND,EUROPE,2011,126123
FINLAND,EUROPE,2012,111251
FINLAND,EUROPE,2013,103455
FINLAND,EUROPE,2014,106236
FRANCE,EUROPE,2005,2118042
FRANCE,EUROPE,2006,2045745
FRANCE,EUROPE,2007,2109672
FRANCE,EUROPE,2008,2091369
FRANCE,EUROPE,2009,2302398
FRANCE,EUROPE,2010,2251669
FRANCE,EUROPE,2011,2204229
FRANCE,EUROPE,2012,1898760
FRANCE,EUROPE,2013,1790456
FRANCE,EUROPE,2014,1795885
GERMANY,EUROPE,2005,3319259
GERMANY,EUROPE,2006,3467961
GERMANY,EUROPE,2007,3148163
GERMANY,EUROPE,2008,3090040
GERMANY,EUROPE,2009,3807175
GERMANY,EUROPE,2010,2916259
GERMANY,EUROPE,2011,3173634
GERMANY,EUROPE,2012,3082504
GERMANY,EUROPE,2013,2952431
GERMANY,EUROPE,2014,3036773
GREECE,EUROPE,2005,269728
GREECE,EUROPE,2006,267669
GREECE,EUROPE,2007,279745
GREECE,EUROPE,2008,267295
GREECE,EUROPE,2009,219730
GREECE,EUROPE,2010,141501
GREECE,EUROPE,2011,97680
GREECE,EUROPE,2012,58482
GREECE,EUROPE,2013,58694
GREECE,EUROPE,2014,71218
ICELAND,EUROPE,2005,18060
ICELAND,EUROPE,2006,17129
ICELAND,EUROPE,2007,15942
ICELAND,EUROPE,2008,9033
ICELAND,EUROPE,2009,2113
ICELAND,EUROPE,2010,3106
ICELAND,EUROPE,2011,5038
ICELAND,EUROPE,2012,7902
ICELAND,EUROPE,2013,7274
ICELAND,EUROPE,2014,9536
IRELAND,EUROPE,2005,171742
IRELAND,EUROPE,2006,178484
IRELAND,EUROPE,2007,186325
IRELAND,EUROPE,2008,151607
IRELAND,EUROPE,2009,57453
IRELAND,EUROPE,2010,88446
IRELAND,EUROPE,2011,89911
IRELAND,EUROPE,2012,79498
IRELAND,EUROPE,2013,74367
IRELAND,EUROPE,2014,96344
ITALY,EUROPE,2005,2244108
ITALY,EUROPE,2006,2335462
ITALY,EUROPE,2007,2494115
ITALY,EUROPE,2008,2161359
ITALY,EUROPE,2009,2159465
ITALY,EUROPE,2010,1961580
ITALY,EUROPE,2011,1749740
ITALY,EUROPE,2012,1403010
ITALY,EUROPE,2013,1304648
ITALY,EUROPE,2014,1360293
LUXEMBOURG,EUROPE,2005,48517
LUXEMBOURG,EUROPE,2006,50837
LUXEMBOURG,EUROPE,2007,51332
LUXEMBOURG,EUROPE,2008,52359
LUXEMBOURG,EUROPE,2009,47265
LUXEMBOURG,EUROPE,2010,49726
LUXEMBOURG,EUROPE,2011,49881
LUXEMBOURG,EUROPE,2012,50398
LUXEMBOURG,EUROPE,2013,46624
LUXEMBOURG,EUROPE,2014,49793
NETHERLANDS,EUROPE,2005,465196
NETHERLANDS,EUROPE,2006,483999
NETHERLANDS,EUROPE,2007,504300
NETHERLANDS,EUROPE,2008,499980
NETHERLANDS,EUROPE,2009,387699
NETHERLANDS,EUROPE,2010,482531
NETHERLANDS,EUROPE,2011,555812
NETHERLANDS,EUROPE,2012,502544
NETHERLANDS,EUROPE,2013,416717
NETHERLANDS,EUROPE,2014,387835
NORWAY,EUROPE,2005,109907
NORWAY,EUROPE,2006,109164
NORWAY,EUROPE,2007,129195
NORWAY,EUROPE,2008,110617
NORWAY,EUROPE,2009,98675
NORWAY,EUROPE,2010,127754
NORWAY,EUROPE,2011,138345
NORWAY,EUROPE,2012,137967
NORWAY,EUROPE,2013,142151
NORWAY,EUROPE,2014,144202
PORTUGAL,EUROPE,2005,206488
PORTUGAL,EUROPE,2006,194702
PORTUGAL,EUROPE,2007,201816
PORTUGAL,EUROPE,2008,213389
PORTUGAL,EUROPE,2009,161013
PORTUGAL,EUROPE,2010,223464
PORTUGAL,EUROPE,2011,153404
PORTUGAL,EUROPE,2012,95309
PORTUGAL,EUROPE,2013,105921
PORTUGAL,EUROPE,2014,142826
SPAIN,EUROPE,2005,1528877
SPAIN,EUROPE,2006,1634608
SPAIN,EUROPE,2007,1614835
SPAIN,EUROPE,2008,1161176
SPAIN,EUROPE,2009,952772
SPAIN,EUROPE,2010,982015
SPAIN,EUROPE,2011,808051
SPAIN,EUROPE,2012,699589
SPAIN,EUROPE,2013,722689
SPAIN,EUROPE,2014,855308
SWEDEN,EUROPE,2005,274301
SWEDEN,EUROPE,2006,282766
SWEDEN,EUROPE,2007,306794
SWEDEN,EUROPE,2008,253982
SWEDEN,EUROPE,2009,213408
SWEDEN,EUROPE,2010,289684
SWEDEN,EUROPE,2011,304984
SWEDEN,EUROPE,2012,279899
SWEDEN,EUROPE,2013,269599
SWEDEN,EUROPE,2014,303948
SWITZERLAND (+FL),EUROPE,2005,266770
SWITZERLAND (+FL),EUROPE,2006,269421
SWITZERLAND (+FL),EUROPE,2007,284674
SWITZERLAND (+FL),EUROPE,2008,288525
SWITZERLAND (+FL),EUROPE,2009,266018
SWITZERLAND (+FL),EUROPE,2010,294239
SWITZERLAND (+FL),EUROPE,2011,318958
SWITZERLAND (+FL),EUROPE,2012,328139
SWITZERLAND (+FL),EUROPE,2013,307885
SWITZERLAND (+FL),EUROPE,2014,301942
UNITED KINGDOM,EUROPE,2005,2439717
UNITED KINGDOM,EUROPE,2006,2344864
UNITED KINGDOM,EUROPE,2007,2404007
UNITED KINGDOM,EUROPE,2008,2131795
UNITED KINGDOM,EUROPE,2009,1994999
UNITED KINGDOM,EUROPE,2010,2030846
UNITED KINGDOM,EUROPE,2011,1941253
UNITED KINGDOM,EUROPE,2012,2044609
UNITED KINGDOM,EUROPE,2013,2264737
UNITED KINGDOM,EUROPE,2014,2476435
BULGARIA*,EUROPE NEW MEMBERS,2005,25956
BULGARIA*,EUROPE NEW MEMBERS,2006,36455
BULGARIA*,EUROPE NEW MEMBERS,2007,43521
BULGARIA*,EUROPE NEW MEMBERS,2008,45143
BULGARIA*,EUROPE NEW MEMBERS,2009,22869
BULGARIA*,EUROPE NEW MEMBERS,2010,16257
BULGARIA*,EUROPE NEW MEMBERS,2011,19250
BULGARIA*,EUROPE NEW MEMBERS,2012,19419
BULGARIA*,EUROPE NEW MEMBERS,2013,19352
BULGARIA*,EUROPE NEW MEMBERS,2014,20359
CROATIA,EUROPE NEW MEMBERS,2005,70541
CROATIA,EUROPE NEW MEMBERS,2006,78775
CROATIA,EUROPE NEW MEMBERS,2007,82664
CROATIA,EUROPE NEW MEMBERS,2008,88265
CROATIA,EUROPE NEW MEMBERS,2009,44918
CROATIA,EUROPE NEW MEMBERS,2010,38587
CROATIA,EUROPE NEW MEMBERS,2011,41561
CROATIA,EUROPE NEW MEMBERS,2012,31360
CROATIA,EUROPE NEW MEMBERS,2013,27802
CROATIA,EUROPE NEW MEMBERS,2014,33997
CYPRUS,EUROPE NEW MEMBERS,2005,17687
CYPRUS,EUROPE NEW MEMBERS,2006,18639
CYPRUS,EUROPE NEW MEMBERS,2007,22878
CYPRUS,EUROPE NEW MEMBERS,2008,22241
CYPRUS,EUROPE NEW MEMBERS,2009,14981
CYPRUS,EUROPE NEW MEMBERS,2010,14088
CYPRUS,EUROPE NEW MEMBERS,2011,13480
CYPRUS,EUROPE NEW MEMBERS,2012,10123
CYPRUS,EUROPE NEW MEMBERS,2013,7000
CYPRUS,EUROPE NEW MEMBERS,2014,7794
CZECH REPUBLIC,EUROPE NEW MEMBERS,2005,151699
CZECH REPUBLIC,EUROPE NEW MEMBERS,2006,156686
CZECH REPUBLIC,EUROPE NEW MEMBERS,2007,174456
CZECH REPUBLIC,EUROPE NEW MEMBERS,2008,182554
CZECH REPUBLIC,EUROPE NEW MEMBERS,2009,167708
CZECH REPUBLIC,EUROPE NEW MEMBERS,2010,169580
CZECH REPUBLIC,EUROPE NEW MEMBERS,2011,173595
CZECH REPUBLIC,EUROPE NEW MEMBERS,2012,174009
CZECH REPUBLIC,EUROPE NEW MEMBERS,2013,164736
CZECH REPUBLIC,EUROPE NEW MEMBERS,2014,192314
ESTONIA,EUROPE NEW MEMBERS,2005,19640
ESTONIA,EUROPE NEW MEMBERS,2006,25363
ESTONIA,EUROPE NEW MEMBERS,2007,30912
ESTONIA,EUROPE NEW MEMBERS,2008,24579
ESTONIA,EUROPE NEW MEMBERS,2009,9946
ESTONIA,EUROPE NEW MEMBERS,2010,10295
ESTONIA,EUROPE NEW MEMBERS,2011,17070
ESTONIA,EUROPE NEW MEMBERS,2012,19424
ESTONIA,EUROPE NEW MEMBERS,2013,19694
ESTONIA,EUROPE NEW MEMBERS,2014,20861
HUNGARY,EUROPE NEW MEMBERS,2005,198982
HUNGARY,EUROPE NEW MEMBERS,2006,187676
HUNGARY,EUROPE NEW MEMBERS,2007,171661
HUNGARY,EUROPE NEW MEMBERS,2008,153278
HUNGARY,EUROPE NEW MEMBERS,2009,60189
HUNGARY,EUROPE NEW MEMBERS,2010,43476
HUNGARY,EUROPE NEW MEMBERS,2011,45094
HUNGARY,EUROPE NEW MEMBERS,2012,53059
HUNGARY,EUROPE NEW MEMBERS,2013,56139
HUNGARY,EUROPE NEW MEMBERS,2014,67476
LATVIA,EUROPE NEW MEMBERS,2005,10467
LATVIA,EUROPE NEW MEMBERS,2006,14234
LATVIA,EUROPE NEW MEMBERS,2007,21606
LATVIA,EUROPE NEW MEMBERS,2008,22217
LATVIA,EUROPE NEW MEMBERS,2009,7515
LATVIA,EUROPE NEW MEMBERS,2010,7970
LATVIA,EUROPE NEW MEMBERS,2011,13234
LATVIA,EUROPE NEW MEMBERS,2012,10665
LATVIA,EUROPE NEW MEMBERS,2013,10636
LATVIA,EUROPE NEW MEMBERS,2014,12452
LITHUANIA,EUROPE NEW MEMBERS,2005,16602
LITHUANIA,EUROPE NEW MEMBERS,2006,25582
LITHUANIA,EUROPE NEW MEMBERS,2007,32771
LITHUANIA,EUROPE NEW MEMBERS,2008,19831
LITHUANIA,EUROPE NEW MEMBERS,2009,5367
LITHUANIA,EUROPE NEW MEMBERS,2010,6365
LITHUANIA,EUROPE NEW MEMBERS,2011,10980
LITHUANIA,EUROPE NEW MEMBERS,2012,12165
LITHUANIA,EUROPE NEW MEMBERS,2013,12163
LITHUANIA,EUROPE NEW MEMBERS,2014,14503
MALTA,EUROPE NEW MEMBERS,2005,6552
MALTA,EUROPE NEW MEMBERS,2006,6745
MALTA,EUROPE NEW MEMBERS,2007,6240
MALTA,EUROPE NEW MEMBERS,2008,5423
MALTA,EUROPE NEW MEMBERS,2009,5894
MALTA,EUROPE NEW MEMBERS,2010,4056
MALTA,EUROPE NEW MEMBERS,2011,5428
MALTA,EUROPE NEW MEMBERS,2012,5884
MALTA,EUROPE NEW MEMBERS,2013,5749
MALTA,EUROPE NEW MEMBERS,2014,6451
POLAND,EUROPE NEW MEMBERS,2005,207007
POLAND,EUROPE NEW MEMBERS,2006,224728
POLAND,EUROPE NEW MEMBERS,2007,277427
POLAND,EUROPE NEW MEMBERS,2008,319190
POLAND,EUROPE NEW MEMBERS,2009,276220
POLAND,EUROPE NEW MEMBERS,2010,315855
POLAND,EUROPE NEW MEMBERS,2011,277427
POLAND,EUROPE NEW MEMBERS,2012,272719
POLAND,EUROPE NEW MEMBERS,2013,289913
POLAND,EUROPE NEW MEMBERS,2014,327709
ROMANIA,EUROPE NEW MEMBERS,2005,214967
ROMANIA,EUROPE NEW MEMBERS,2006,247411
ROMANIA,EUROPE NEW MEMBERS,2007,312533
ROMANIA,EUROPE NEW MEMBERS,2008,285506
ROMANIA,EUROPE NEW MEMBERS,2009,116016
ROMANIA,EUROPE NEW MEMBERS,2010,94441
ROMANIA,EUROPE NEW MEMBERS,2011,81709
ROMANIA,EUROPE NEW MEMBERS,2012,66436
ROMANIA,EUROPE NEW MEMBERS,2013,57710
ROMANIA,EUROPE NEW MEMBERS,2014,70172
SLOVAKIA,EUROPE NEW MEMBERS,2005,56916
SLOVAKIA,EUROPE NEW MEMBERS,2006,59084
SLOVAKIA,EUROPE NEW MEMBERS,2007,59700
SLOVAKIA,EUROPE NEW MEMBERS,2008,70040
SLOVAKIA,EUROPE NEW MEMBERS,2009,74717
SLOVAKIA,EUROPE NEW MEMBERS,2010,64033
SLOVAKIA,EUROPE NEW MEMBERS,2011,68203
SLOVAKIA,EUROPE NEW MEMBERS,2012,69268
SLOVAKIA,EUROPE NEW MEMBERS,2013,66000
SLOVAKIA,EUROPE NEW MEMBERS,2014,72249
SLOVENIA,EUROPE NEW MEMBERS,2005,59324
SLOVENIA,EUROPE NEW MEMBERS,2006,59578
SLOVENIA,EUROPE NEW MEMBERS,2007,68719
SLOVENIA,EUROPE NEW MEMBERS,2008,71575
SLOVENIA,EUROPE NEW MEMBERS,2009,57967
SLOVENIA,EUROPE NEW MEMBERS,2010,61142
SLOVENIA,EUROPE NEW MEMBERS,2011,60193
SLOVENIA,EUROPE NEW MEMBERS,2012,50091
SLOVENIA,EUROPE NEW MEMBERS,2013,52268
SLOVENIA,EUROPE NEW MEMBERS,2014,53296
ALBANIA,"RUSSIA, TURKEY & OTHER EUROPE",2005,800
